employee_import_key,facility_id,facility_name,facility_type_name,department_id,department_name,department_type_id,department_type_name,is_department_manager,is_facility_manager,manager_import_key,full_name,first_name,last_name,phone_number,email,street_address,job_title,salary,hours_worked,employment_status,generated_source
EMP_1_1_0001,1,Main Demo Post Office,Post Office,1,HOMDPO001_Delivery,2,Delivery,1,1,,Danielle Johnson,Danielle,Johnson,555-818-6890,danielle.johnson.1.1.1@postal-demo.local,32181 Johnson Course Apt. 389,Delivery Manager,95400.0,2004,Full-Time,staffing_plan_employee_generation.ipynb
EMP_1_1_0002,1,Main Demo Post Office,Post Office,1,HOMDPO001_Delivery,2,Delivery,0,0,EMP_1_1_0001,Anthony Gonzalez,Anthony,Gonzalez,555-268-7275,anthony.gonzalez.1.1.2@postal-demo.local,79402 Peterson Drives Apt. 511,City Carrier,43800.0,1216,Part-Time,staffing_plan_employee_generation.ipynb
EMP_1_1_0003,1,Main Demo Post Office,Post Office,1,HOMDPO001_Delivery,2,Delivery,0,0,EMP_1_1_0001,Noah Howard,Noah,Howard,555-979-7456,noah.howard.1.1.3@postal-demo.local,407 Teresa Lane Apt. 849,Mail Carrier,52200.0,1894,Full-Time,staffing_plan_employee_generation.ipynb
EMP_1_1_0004,1,Main Demo Post Office,Post Office,1,HOMDPO001_Delivery,2,Delivery,0,0,EMP_1_1_0001,Nicole Ward,Nicole,Ward,555-599-4336,nicole.ward.1.1.4@postal-demo.local,103 Galloway Walk,City Carrier,60500.0,2124,Full-Time,staffing_plan_employee_generation.ipynb
EMP_1_2_0001,1,Main Demo Post Office,Post Office,2,HOMDPO001_Logistics,3,Logistics,1,0,,Jesse Garcia,Jesse,Garcia,555-521-8404,jesse.garcia.1.2.1@postal-demo.local,5255 Elizabeth Squares Apt. 928,Logistics Manager,93400.0,2041,Full-Time,staffing_plan_employee_generation.ipynb
EMP_1_2_0002,1,Main Demo Post Office,Post Office,2,HOMDPO001_Logistics,3,Logistics,0,0,EMP_1_2_0001,Jessica Martin,Jessica,Martin,555-554-1829,jessica.martin.1.2.2@postal-demo.local,8350 Lydia Valley Suite 641,Logistics Associate,57700.0,1872,Full-Time,staffing_plan_employee_generation.ipynb
EMP_1_1091_0001,1,Main Demo Post Office,Post Office,1091,HOMDPO001_Retail Services,1,Retail Services,1,0,,Jason Hahn,Jason,Hahn,555-861-3490,jason.hahn.1.1091.1@postal-demo.local,76724 John Points Suite 969,Retail Services Manager,92100.0,2071,Full-Time,staffing_plan_employee_generation.ipynb
EMP_1_1091_0002,1,Main Demo Post Office,Post Office,1091,HOMDPO001_Retail Services,1,Retail Services,0,0,EMP_1_1091_0001,Reginald Robinson,Reginald,Robinson,555-759-4190,reginald.robinson.1.1091.2@postal-demo.local,710 Eric Estate,Retail Clerk,51500.0,2006,Full-Time,staffing_plan_employee_generation.ipynb
EMP_1_1091_0003,1,Main Demo Post Office,Post Office,1091,HOMDPO001_Retail Services,1,Retail Services,0,0,EMP_1_1091_0001,Laura Henderson,Laura,Henderson,555-913-7838,laura.henderson.1.1091.3@postal-demo.local,6978 Maddox Wall,Retail Clerk,43000.0,2013,Full-Time,staffing_plan_employee_generation.ipynb
EMP_2_3_0001,2,HOUSTON - MAIN OFFICE,Post Office,3,HAHOSHPO002_Retail Services,1,Retail Services,1,0,,Sherri Frazier,Sherri,Frazier,555-234-5918,sherri.frazier.2.3.1@postal-demo.local,845 Kelly Estate,Retail Services Manager,84900.0,1904,Full-Time,staffing_plan_employee_generation.ipynb
EMP_2_3_0002,2,HOUSTON - MAIN OFFICE,Post Office,3,HAHOSHPO002_Retail Services,1,Retail Services,0,0,EMP_2_3_0001,Shawn Mckay,Shawn,Mckay,555-937-7702,shawn.mckay.2.3.2@postal-demo.local,281 Skinner Parkways Apt. 252,Window Clerk,51500.0,1994,Full-Time,staffing_plan_employee_generation.ipynb
EMP_2_3_0003,2,HOUSTON - MAIN OFFICE,Post Office,3,HAHOSHPO002_Retail Services,1,Retail Services,0,0,EMP_2_3_0001,Amber Osborne,Amber,Osborne,555-460-1687,amber.osborne.2.3.3@postal-demo.local,570 Sarah Wells,Window Clerk,49100.0,1916,Full-Time,staffing_plan_employee_generation.ipynb
