package_id_hex,recipient_address,recipient_territory_id,sender_address,sender_territory_id,estimated_delivery_distance,recipient_first_name,recipient_middle_initial,recipient_last_name,expected_delivery_date,delivered_date
c3ce23b5f2e25364825bc4a3b89862be,"7878 Rio Vista Rd, Schertz, TX 78154",1942,"2152 Magnolia Dr, Austin, TX 78753",2338,67.76,Maya,F,Bennett,,
b5023924364f58b0847a8806a2135e44,"7469 Bluebonnet Blvd, Houston, TX 77034",1315,"6452 Rio Vista Ct, San Antonio, TX 78251",2000,209.76,Hannah,S,Nguyen,,
0f771925ad6f508fa21fea5a08aa7d17,"7411 Post Oak Ln, Corpus Christi, TX 78414",2092,"2248 Magnolia Rd, El Paso, TX 79936",2956,606.12,Victor,D,Patel,,
9e0433ae81765efb8779a55a754772d7,"2585 Magnolia Dr, Denton, TX 76208",761,"1865 Cypress Way, Lake Dallas, TX 75065",60,7.26,Kevin,R,Ramirez,,
c5bf61d5527a5f7e9fcf6cfe823efdef,"5461 Hill Country Blvd, Stafford, TX 77477",1538,"563 Brazos Way, Corpus Christi, TX 78416",2094,172.24,Gabriel,R,Anderson,,
60884af4a7d15661a81e108a4c32c3d4,"904 Prairie Bend Ct, League City, TX 77573",1616,"2270 Hill Country Ave, Port Lavaca, TX 77979",1766,110.64,Danielle,Q,Anderson,,
dbff687a8d575c4480758faef963319b,"787 Live Oak Way, Pearland, TX 77581",1622,"7154 Bluebonnet Rd, Irving, TX 75063",59,252.4,Jasmine,,Kim,,
c804e8ece30750f88b1c76aa0811e67a,"5846 Lone Star Ave, Richmond, TX 77407",1466,"3329 Cedar Creek Blvd, Mcallen, TX 78501",2098,284.43,Natalie,,Kim,,
b6e50e0e0eb4580e8db63ae61545de67,"7668 Pecan Grove Dr, Temple, TX 76501",975,"2300 Mesquite St, Troup, TX 75789",511,145.95,Tara,M,Johnson,,
23b3aea7a5ee53f886a5f16ce643479e,"2915 Prairie Bend Rd, Houston, TX 77036",1317,"849 Magnolia St, San Antonio, TX 78222",1972,172.67,Victor,G,Vasquez,,
eba84ab3c49a5aa2a173f499ebc5b768,"2636 Cypress Dr, Dallas, TX 75243",204,"2864 Bluebonnet Ave, Dallas, TX 75223",186,8.29,Alyssa,,Ortiz,,
b49fe2373f9555d5a9f0b71501f59250,"8787 Trinity St, Spring, TX 77386",1460,"1698 Prairie Bend Ln, Spring, TX 77373",1446,3.24,Gabriela,A,Garcia,,
941836a5a3605924b997e6be5efbc804,"5493 Rio Vista Ave, Fort Worth, TX 76109",726,"9636 Cypress Rd, Spring, TX 77382",1457,203.99,Jasmine,C,Johnson,,
1c43dd6bafa059e8b98cd3fb07bb87b8,"6191 Mockingbird Dr, Houston, TX 77029",1309,"2216 Brazos Way, Nacogdoches, TX 75964",603,132.71,Aaron,K,Bennett,,
3801c6e3fb2654bbb8735eaae15e7628,"8565 Mockingbird Ct, Corpus Christi, TX 78412",2090,"7771 Prairie Bend Ct, Laredo, TX 78041",1840,130.56,Valerie,D,Patel,,
c7009889ade351059f1bcbd7196be478,"1886 Rio Vista St, Dumas, TX 79029",2475,"4381 Lone Star St, Amarillo, TX 79107",2585,47.71,Natalie,W,Walker,,
55eee8421b145d1c9b7b41037999fef5,"5916 Cypress Blvd, Keller, TX 76248",789,"1634 Hill Country Blvd, Harker Heights, TX 76548",1021,131.96,Daniel,M,Hayes,,
a85e13c51c5a5957aec5e775109abd6e,"1532 Brazos Ct, Weatherford, TX 76086",710,"1316 Pecan Grove Rd, Cypress, TX 77429",1482,228.55,Thomas,,Ortiz,,
88ddaf7438575603b464539527cde8f8,"503 Mockingbird Ave, Cypress, TX 77433",1487,"8093 Mockingbird Rd, Dallas, TX 75229",192,214.0,Hannah,,Flores,,
69790a37412c52b4ba691fbab1242055,"6426 Magnolia Blvd, San Antonio, TX 78250",1999,"2958 Cypress Blvd, Crowley, TX 76036",657,224.71,Maya,U,Anderson,,
23d6e709b9ce55ada7faf05ec82fbe79,"9700 Mockingbird St, Southlake, TX 76092",715,"5273 Bluebonnet Rd, Keene, TX 76059",683,40.32,Camila,N,Martinez,,
0a8e31a5aa835cae84219d71c9790b13,"8431 Sunset Ridge Dr, Spring, TX 77373",1446,"1683 Bluebonnet St, Lubbock, TX 79407",2745,461.99,Preston,L,Martinez,,
04b1cb20cad15ef6a3c442d537638223,"2277 Cedar Creek Ct, Arlington, TX 76015",635,"6720 Sunset Ridge Ave, Grand Prairie, TX 75052",48,6.41,Tara,,Bennett,,
f2bb91f8c87a5a7cb31647cee2233fcf,"6679 Hill Country Dr, Spring, TX 77388",1461,"4159 Post Oak Rd, Beaumont, TX 77706",1679,77.8,Aaron,X,Castillo,,
9c54490779ac5a5baac3ca65b997f42e,"4998 Pecan Grove Dr, Houston, TX 77099",1384,"9271 Hill Country Way, Fort Worth, TX 76116",732,237.79,Kevin,G,Edwards,,
96662336ca755620806a61e72f38042c,"749 Sunset Ridge Dr, Sugar Land, TX 77478",1540,"3914 Hill Country Ln, Midland, TX 79706",2855,407.67,Gabriela,,Castillo,,
61ecaab709b65b388cbbbe0ce2d1479c,"7188 Hill Country Way, Spring, TX 77373",1446,"7107 Magnolia Dr, Wharton, TX 77488",1554,67.95,Tara,L,Ramirez,,
ac4a102245955488bd20e0291e385856,"2849 Magnolia Rd, Kountze, TX 77625",1650,"741 Magnolia Dr, Kountze, TX 77625",1650,0.0,Caleb,Z,Bennett,,
ab7cbfe520e25e529322311b98523d39,"7823 Lone Star Blvd, Baytown, TX 77520",1580,"3464 Brazos Ln, Mesquite, TX 75150",132,232.81,Lauren,Z,Patel,,
ae774feb6443513ab04a4511bc52c7d0,"9196 Mesquite Way, Temple, TX 76502",976,"6227 Mesquite Dr, Killeen, TX 76549",1022,25.13,Julian,R,Garcia,,
33ba322053e458b082d9bba6c1e75057,"1040 Mockingbird Way, Brownsville, TX 78526",2104,"4031 Bluebonnet Rd, Corpus Christi, TX 78410",2088,127.59,Julian,L,Castillo,,
b7b99f2c4bba5769859b18bed2407c1e,"9425 Cypress Ln, Beaumont, TX 77706",1679,"8111 Post Oak Ln, Beaumont, TX 77707",1680,3.3,Valerie,,Vasquez,,
ae47a65dc5ed5e0ab16db71bdcd0b63d,"8087 Brazos Ln, Houston, TX 77063",1345,"9765 Bluebonnet Ct, Austin, TX 78753",2338,136.24,Whitney,G,Anderson,,
a7e73e56492d51e2a8852e229c26e050,"7002 Brazos Ln, Austin, TX 78735",2317,"5278 Hill Country Ave, Houston, TX 77099",1384,142.7,Gabriel,,Diaz,,
c5e82128dc5955eaa587cad6776dcbad,"3818 Magnolia Rd, San Antonio, TX 78242",1992,"6555 Mockingbird St, Austin, TX 78741",2326,81.01,Julian,G,Edwards,,
63f2becb9cec56b8a2409814fae1b318,"8449 Post Oak Ct, Corpus Christi, TX 78414",2092,"4128 Bluebonnet Rd, Euless, TX 76040",659,356.97,Rafael,D,Taylor,,
62fb5ac156ed54c495dfcef81f46661b,"1390 Hill Country Ln, Houston, TX 77038",1319,"9805 Post Oak Ln, Pflugerville, TX 78660",2261,133.68,Hannah,I,Edwards,,
